0044c0e0 PUSH R15
0044c0e2 PUSH R14
0044c0e4 PUSH R13
0044c0e6 PUSH R12
0044c0e8 PUSH RBP
0044c0e9 PUSH RBX
0044c0ea SUB RSP,0x1c8
0044d7ad MOV RDI,qword ptr [RSP + 0xa8]
0044d7b5 ROR RCX,0x10
0044d7b9 MOV qword ptr [RSP + 0x198],RCX
0044d7c1 ADD RCX,RDX
0044d7c4 XOR RAX,RCX
0044d7c7 MOV qword ptr [RSP + 0x170],RCX
0044d7cf ROL RAX,0x1
0044d7d2 MOV qword ptr [RSP + 0x168],RAX
0044d7da MOV RAX,qword ptr [RSP + 0xd8]
0044d7e2 ADD RAX,R9
0044d7e5 ADD RAX,RBX
0044d7e8 XOR RSI,RAX
0044d7eb ADD RAX,qword ptr [RSP + 0xc8]
0044d7f3 ROL RSI,0x20
0044d7f7 ADD RBP,RSI
0044d7fa XOR RBX,RBP
0044d7fd MOV RDX,RBX
0044d800 ROR RDX,0x18
0044d804 ADD RAX,RDX
0044d807 MOV qword ptr [RSP + 0x148],RAX
0044d80f XOR RAX,RSI
0044d812 MOV RSI,RCX
0044d815 MOV RCX,R11
0044d818 ROR RAX,0x10
0044d81c ADD RBP,RAX
0044d81f MOV qword ptr [RSP + 0x1a0],RAX
0044d827 MOV RAX,qword ptr [RSP + 0xa0]
0044d82f MOV qword ptr [RSP + 0x178],RBP
0044d837 XOR RBP,RDX
0044d83a MOV RDX,qword ptr [RSP + 0x50]
0044d83f ROL RBP,0x1
0044d842 MOV qword ptr [RSP + 0x150],RBP
0044d84a JMP 0x0044d857
0044d850 MOV RCX,qword ptr [RAX]
0044d853 MOV RSI,qword ptr [RAX + 0x40]
0044d857 XOR RCX,RSI
0044d85a XOR RCX,qword ptr [RDX]
0044d85d ADD RAX,0x8
0044d861 ADD RDX,0x8
0044d865 MOV qword ptr [RAX + -0x8],RCX
0044d869 MOV qword ptr [RDX + -0x8],RCX
0044d86d CMP RAX,RDI
0044d870 JNZ 0x0044d850
0044d872 MOV RDI,qword ptr [RSP + 0x68]
0044d877 SUB qword ptr [RSP + 0x88],RDI
0044d87f JNZ 0x0044c1c0
0044d885 MOV RAX,qword ptr [RSP + 0x1b8]
0044d88d SUB RAX,qword ptr FS:[0x28]
0044d896 JNZ 0x0044d8aa
0044d898 ADD RSP,0x1c8
0044d89f POP RBX
0044d8a0 POP RBP
0044d8a1 POP R12
0044d8a3 POP R13
0044d8a5 POP R14
0044d8a7 POP R15
0044d8a9 RET
0044d8aa CALL 0x00768630
